smiles,logSolubility
ClCCCl,-1.08
[F-].[F-].[F-].[F-].[F-].[F-].[Na+].[Na+].[Na+].[Al+3],-2.698845903
OC(=O)c1ccc(Cl)c(Cl)c1,-3.495
CC(Cl)C(C)(C)O,-0.2926
CC(C)C(N)C(=O)NC(C(=O)O)C(C)C,-0.4
N1c2c(Sc3ccc4ccccc4c13)ccc5ccccc25,-7.9081
CN1C(=O)N(C)c2n[se]nc2C1=O,-2.2994
CC(C)CNCC1=CC2=C(OC(S(N)(=O)=O)=C2)S1,-1.33
C(CCCO[N+](=O)O)CCCO[N+](=O)O,-3.4
COc1ccc(\C=C\C(O)=O)cc1,-2.3984
NCCCCCCNCCCCCCCCCCC(O)=O,-2.3017
CCOC1OC2=CC=C(O[S](C)(=O)=O)C=C2C1(C)C,-3.42
[Na+].CC\1=Nc2ccccc2C1=N/Nc3cc(Cl)c(cc3Cl)[S](=O)(=O)NCC[S]([O-])(=O)=O,-3.756179517
CC(=C)C(=O)OC1CCCCC1,-3.088564823
COC(=O)OC(C)C(=O)OC,-0.6003
CC[C@]12CC[C@H]3[C@@H](CCc4cc(OC)ccc34)[C@@H]1CC[C@@H]2O,-4.875700653
CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,-6.91873366
N\C(NO)=C(/N)N=O,-0.7773
O=C1NC2=C(C=NC=N2)N=C1,-2.12
[O-][N+](=O)c1cc(Cl)ccc1Cl,-3.364225398
OC(=O)CN1C(=O)Sc2cccc(Cl)c12,-2.6087
C1OC1COc2ccc(cc2)N(CC3CO3)CC4CO4,-1.919234725
CCCCOC(=O)\C=C/C(=O)OCCCC,-3.128034162
CCN(C(=O)N(CC)c1ccccc1)c2ccccc2,-3.525627796
[Na+].[Na+].[Fe].Nc1ccc(cc1)[N+]([O-])=O.Nc2cccc(c2)[S]([O-])(=O)=O.Nc3ccc(Nc4ccccc4)c(c3)[S]([O-])(=O)=O.OC\5=CC(=O)C=CC5=N/Nc6cc(cc(c6O)[N+]([O-])=O)[N+]([O-])=O,-2.526815423
CC(=O)OCCN(CCC#N)c1ccc(cc1)N=Nc2sc3cc(ccc3n2)[N+]([O-])=O,-4.340908898
ClC1=CC(=C(OC2=CC=CC=C2)C(=C1)Cl)Cl,-6.11
COc1ccc(N)cc1,-0.748029368
COc1ncc2nccnc2n1,-1.113
[Cl-].COCC[Hg+],-0.771
O=C(NC(=O)C1=C(F)C=CC=C1F)NC1=CC=C(Cl)C=C1,-6.54
COCC(O)=O,1.0454
CCOC1CC(C)CC(C)(C)C1,-4.134294434
CCCCC(=O)OC,-1.3606
OC(=O)CCCCC(O)=O,-0.82
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC/C(C)=C/CO,-4.861741107
CC(=O)OOC(=O)c1ccccc1,-2.4502
CC1=CC(=O)OC2=C3CCCN4CCCC(=C34)C=C12,-3.89
OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.2872
CN1N=C(SC1=N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O)[S](N)(=O)=O,-2.47
CC1CC(CC(C)(C)N1)OC(=O)c2ccccc2,-1.922
[Li+].[OH-],0.662123436
CCCCSc1cc(O)cc(O)c1,-2.5191
OCCNC(=O)C(=O)NCCO,-0.1124
CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.3339
CC(=O)NC1=NC2=C(N=C[N]2COCCO)C(=O)N1,-1.92
CC(=O)O[C@@H]1CCCC[C@@H]1C(C)(C)C,-4.297335855
CN1N=C(SC1=N[S](=O)(=O)C2=CC=C(C)C=C2)[S](N)(=O)=O,-2.84
Oc1ccc(c(O)c1)C2=C(O)C(=O)c3c(O)cc(O)cc3O2,-3.082409058
CCC(CC)C(=O)OC1=C(C=CC=C1)C(O)=O,-1.84
COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,-4.04
Clc1cc(c(Cl)c(Cl)c1Cl)c2c(Cl)cccc2Cl,-8.13
Cc1cc(C)c2ccccc2n1,-1.9424
CSc1ncc2nccnc2n1,-1.7561
Oc1ccc2ccccc2c1,-2.2809
CCC(CC=C)(C(=O)NC(N)=O)C(=O)OC,-1.92
COC(=O)c1cc(C)ccc1C2=NC(C)(C(C)C)C(=O)N2,-2.3262
Cc1ccc(cc1)c2ccc(C)cc2,-6.0177
COC1=CC=C2C=C(C=CC2=C1)C(C)C(=O)OCC(=O)N(C)CCO,-3.39
Cc1ccc(N)cc1C,-1.5036
CCCCCOC(=O)C1=CC(Br)=C(O)C=C1,-4.1
CN(C)C(=O)COC(=O)C1CCN2C(C(=O)C3=CC=CC=C3)=CC=C12,-3.03
O=C1CCCCCN1C(=O)c2cccc(c2)C(=O)N3CCCCCC3=O,-3.958346195
COC(=O)Cc1ccccc1,-2.211401723
CC(N)CN,1.130023576
CC(C)C(=O)OOC(C)(C)C,-1.607002567
Clc1ccccc1c2nnc(nn2)c3ccccc3Cl,-5.4817
Oc1ccc2ccccc2c1N=O,-2.9374
[Na+].[Na+].[O-][S](=O)(=O)C1=CC(=O)C2=C(NNc3ccc(NC(=O)C(Br)=C)cc3[S]([O-])(=O)=O)C(=N)C=CC2=C1,-1.6785332
[Br-].CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,-0.937218529
O=C1NC(=O)C2=C(N1)NC(=O)C(=O)N2,-4.06
C=CC(=O)NCNC(=O)C=C,-0.655242676
CC1=C(C)N=C(N[S](=O)(=O)C2=CC=C(N)C=C2)O1,-2.22
Cc1ccc(cc1C)[N+]([O-])=O,-3.179451248
CCCCCCCCCCCCCNCCCCCCCCCCCCC.CCCCCCCCCCCCCNCC(C)CCCCCCCCCC,-7.405668446
COC(=O)C(/C)=C/O[P](=S)(OC)OC,-2.7785
NC(=O)N/N=C/C1=CC=C(O1)[N+]([O-])=O,-2.98
[Na+].O[C@H](C[O-])[C@H]1OC(=C(O)C1=O)O,-0.132544773
[Na+].CC1=NN(C(=O)C1N=Nc2ccc(C)c(c2)[S](=O)(=O)Nc3ccccc3)c4ccc(cc4)[S]([O-])(=O)=O,-0.872552369
CC([S](C)(=O)=O)[S](C)(=O)=O,-1.4188
CC(=O)C(OC1=C(Cl)C=CC=C1)C(=O)O,-2.1
