smiles,logSolubility
c1cc(N)ccc1S(=O)(=O)Nc2cnccn2,-3.7
CCC(O)C(C)C,-0.7062
COc1cc2OC[C@H]3Oc4c5C[C@@H](Oc5ccc4C(=O)[C@H]3c2cc1OC)C(C)=C,-6.2949
Cn1nc(C)c(C(=O)c2ccc(Cl)c(C)c2Cl)c1OCC(=O)c3ccc(C)cc3,-6.5209
CCOC(=O)CC(C)=O,-0.073
Clc1ccc(Cl)c(Cl)c1Cl,-4.5619
[Na+].CCCCCCCCO[S]([O-])(=O)=O,0.287206306
N[S](=O)(=O)C1=CC=C(NC2=NC(=NC=C2)N[S](=O)(=O)C3=CC=C(Br)C=C3)C=C1,-2.62
CNC(=O)O/N=C/C1(C)SCC(C)S1,-2.3698
CNC(=O)O\N=C(/C)SC,-0.4466
[O-][N+](=O)c1c(Cl)c(Cl)cc(Cl)c1Cl,-5.0963
C=CC(=O)OCCCCCCOC(=O)C=C,-2.819336696
O=C1CCc2cccc3CCN1c23,-1.6365
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1,-8.520248661
CN1C(=O)C=NC2=C1N=CN=C2,-0.92
COC1=CC=C(C2=CC=CC=C21)[N+](=O)[O-],-4.36
[Zn++].CCCCCCCCCc1cc2ccccc2c(c1CCCCCCCCC)[S]([O-])(=O)=O.CCCCCCCCCc3cc4ccccc4c(c3CCCCCCCCC)[S]([O-])(=O)=O,-4.788424219
CN(C)C(=O)CCOC(=O)c1ccccc1,-1.0994
O=C(NCN1CCCCC1)C2=CC=CC=C2,-2.15
[Fe+3].[Fe+3].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O,1.041524079
ClC1=CC=C(OC2=CC(=C(Cl)C(=C2)Cl)Cl)C(=C1)Cl,-7.89
Clc1ccc(c(Cl)c1)c2c(Cl)cc(Cl)c(Cl)c2Cl,-7.4721
